year,genre,parentalAdvisor,duree,themaScore,imdbRating
1959,Comedy,Not Rated,86.0,0.2937667965888977,6.2
2005,Drama,R,87.0,0.3491447269916534,4.6
1985,Adventure,R,86.0,0.290343165397644,3.9
2011,Documentary,Not Rated,80.0,0.3764100968837738,6.4
2003,Comedy,R,93.0,0.1371774822473526,5.7
1995,Documentary,Not Rated,96.0,0.4609210789203644,6.7
1989,Comedy,Not Rated,80.0,0.243649274110794,5.2
2010,Adventure,Not Rated,106.0,0.4109090864658355,5.8
1969,Drama,R,89.0,0.1728512346744537,3.4
2001,Drama,R,95.0,0.333414614200592,3.5
1992,Romance,Not Rated,130.0,0.2693155109882355,3.9
1985,Comedy,PG,86.0,0.1538812965154647,5.3
2010,Comedy,R,97.0,0.150818645954132,4.2
2009,Documentary,PG-13,120.0,0.2794230580329895,6.8
1957,Crime,Approved,76.0,0.2908595204353332,6.1
2003,Documentary,R,98.0,0.2267643958330154,6.2
2007,Comedy,R,80.0,0.2094464600086212,5.5
1996,Drama,R,103.0,0.2228438258171081,6.1
2014,Documentary,Not Rated,83.0,0.2226067185401916,6.8
2016,Adventure,Not Rated,96.0,0.2389855682849884,5.4
2016,Crime,Not Rated,86.0,0.2311547994613647,6.3
1992,Comedy,PG-13,115.0,0.0927983224391937,6.0
2012,Drama,Not Rated,87.0,0.2291806489229202,5.4
1964,Adventure,Not Rated,91.0,0.3319267630577087,5.8
2011,Horror,Not Rated,86.0,0.2362884879112243,7.4
1959,Romance,Approved,121.0,0.3032827973365783,6.6
2006,Comedy,Not Rated,95.0,0.2753992676734924,6.5
1988,Comedy,PG,108.0,0.2377599775791168,7.4
1953,Crime,Approved,77.0,0.2983123660087585,6.7
2001,Drama,R,89.0,0.1801910549402237,3.7
1995,Romance,R,96.0,0.2046207189559936,5.9
1977,Drama,PG,105.0,0.0905164033174514,7.2
2009,Comedy,Not Rated,128.0,0.2097261250019073,6.8
1949,Drama,Approved,110.0,0.2235933542251587,7.4
2006,Documentary,Not Rated,75.0,0.2438926249742508,7.6
1983,Adventure,R,88.0,0.2868953049182892,5.2
1999,Documentary,R,90.0,0.2850474417209625,3.6
1984,Documentary,Not Rated,101.0,0.3447648286819458,7.0
2014,Comedy,Not Rated,119.0,0.1923035085201263,7.5
2002,Comedy,R,96.0,0.0586257949471473,6.8
1975,Adventure,PG,107.0,0.1107849404215812,6.7
1999,Drama,R,85.0,0.1482326686382293,4.2
2010,Drama,PG-13,102.0,0.1482326686382293,6.1
2000,Documentary,PG,93.0,0.2127111405134201,4.0
1999,Comedy,R,108.0,0.2468413561582565,4.4
2015,Documentary,Not Rated,104.0,0.1636273711919784,5.4
1939,Comedy,Approved,55.0,0.2587915360927582,5.9
1983,Documentary,R,90.0,0.307673692703247,6.3
2016,Romance,R,88.0,0.2283798456192016,5.1
1961,Adventure,Not Rated,101.0,0.1687733381986618,6.7
2009,Thriller,Not Rated,77.0,0.2741400301456451,6.0
2009,Romance,PG-13,96.0,0.1821474134922027,5.2
1948,Romance,Approved,94.0,0.40400230884552,5.7
2000,Comedy,Not Rated,89.0,0.2081856727600097,6.8
1974,Thriller,Not Rated,99.0,0.1123233959078788,4.9
2000,Drama,Not Rated,78.0,0.0501169525086879,7.1
1931,Drama,Approved,108.0,0.131778597831726,6.2
