imdb_search,title,date,parental_advisor,duree,genre,imdb_note,metascore,vote,resume
"https://www.imdb.com/search/title/?title=PARENT+D%27ELEVE&release_date=2015-01-01,2022-12-31",The ABCs of Love,2020,Tous publics,89.0,Comedy            ,5.9,,427.0,"Vincent, in his thirties without children, infiltrates a tribe with mysterious codes and language: the PTA. Finding himself at parent-teacher meetings, school trips, and the end-of-year fair is quite a feat for him."
"https://www.imdb.com/search/title/?title=La+Verit%C3%A9&release_date=2015-01-01,2022-12-31",The Truth,2019,PG,106.0,Drama            ,6.5,76.0,6714.0,"A stormy reunion between scriptwriter Lumir with her famous mother and actress, Fabienne, against the backdrop of Fabienne's autobiographic book and her latest role in a Sci-Fi picture as a daughter of a mother who never grows old."
"https://www.imdb.com/search/title/?title=LA+SAINTE+FAMILLE&release_date=2015-01-01,2022-12-31",The Holy Family,2019,Tous publics,90.0,"Comedy, Drama            ",5.1,,121.0,"Jean, a renowned academic, finds himself Minister of the family, even though he is drowned in the midst of the events which shake his own."
"https://www.imdb.com/search/title/?title=THE+HUNTING&release_date=2015-01-01,2022-12-31",The Hunt,2020,R,90.0,"Action, Horror, Thriller            ",6.5,50.0,110816.0,"Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt."
"https://www.imdb.com/search/title/?title=NOTRE+DAME&release_date=2015-01-01,2022-12-31",Notre Dame on Fire,2022,Tous publics,110.0,"Biography, Drama, Thriller            ",6.5,64.0,778.0,A film relating from the inside the Notre-Dame de Paris fire of April 2019.
"https://www.imdb.com/search/title/?title=FEMME+ENFANT&release_date=2015-01-01,2022-12-31",Femme Enfant,2016,,,"Animation, Short            ",,,,The film follows a barren artist who experiences the joys and fears of pregnancy through her surrealistic paintings. It was inspired by the story of Frida Kahlo and the female surrealists of the early 20th Century.
"https://www.imdb.com/search/title/?title=Jeanne&release_date=2015-01-01,2022-12-31",Joan of Arc,2019,Not Rated,137.0,Drama            ,5.9,50.0,664.0,"In the 15th century, both France and England stake a blood claim for the French throne. Believing that God had chosen her, the young Joan (Lise Leplat Prudhomme) leads the army of the King ...                "
"https://www.imdb.com/search/title/?title=Une+histoire+d%27amour+et+de+d%C3%A9sir&release_date=2015-01-01,2022-12-31",A Tale of Love and Desire,2021,Tous publics,102.0,"Drama, Romance            ",6.8,,473.0,"Follows Ahmed, a 18-year old, French of Algerian origin, who meets Farah, a young Tunisian girl. He discovers a collection of sensual and erotic Arab literature and falls in love with Farah and he tries to resist the desire."
"https://www.imdb.com/search/title/?title=UNCORKED&release_date=2015-01-01,2022-12-31",Uncorked,2020,TV-MA,104.0,Drama            ,6.4,62.0,5698.0,Elijah must balance his dream of becoming a master sommelier with his father's expectations that he carry on the family's Memphis BBQ joint.
"https://www.imdb.com/search/title/?title=Les+Olympiades&release_date=2015-01-01,2022-12-31","Paris, 13th District",2021,R,105.0,"Comedy, Drama, Romance            ",7.0,76.0,4889.0,"Émilie meets Camille who is attracted to Nora, who crosses paths with Amber. Three girls and a boy - They're friends, sometimes lovers and often both."
"https://www.imdb.com/search/title/?title=GOLIATH&release_date=2015-01-01,2022-12-31",Goliath,2021,TV-MA,60.0,Drama            ,8.1,,47906.0,"A disgraced lawyer, now an ambulance chaser, gets a case that could bring him redemption or at least revenge on the firm which expelled him."
"https://www.imdb.com/search/title/?title=ROSE&release_date=2015-01-01,2022-12-31",The Poison Rose,2019,R,98.0,"Crime, Mystery, Thriller            ",4.7,26.0,8917.0,"Inspired by classic film noir, Carson Phillips, an ex-football star turned PI, has a soft spot for a lady in distress."
