titre,réalisateur,producteur,postal,debut,fin,latitude,longitude,imdb_search,title,date,parental_advisor,duree,genre,imdb_note,metascore,vote,resume
KANTOR,JAN HRYNIAK,BLINK FILMS,75004,2016-03-15,2016-03-15,48.8530890002862,2.363694999680249,"https://www.imdb.com/search/title/?title=KANTOR&release_date=2015-01-01,2022-12-31",Tadeusz Kantor in the Prado Museum,2015,,29.0,"Short, Drama            ",,,,"Kantor's ghost visits the Prado Museum on his 100th birthday. He finds himself in front of the works of art that inspired his own paintings and his theatre: ""Las Meninas"" by Velázquez and ""...                "
KANTOR,JAN HRYNIAK,BLINK FILMS,75016,2016-03-15,2016-03-15,48.8448529996228,2.272120999820283,"https://www.imdb.com/search/title/?title=KANTOR&release_date=2015-01-01,2022-12-31",Tadeusz Kantor in the Prado Museum,2015,,29.0,"Short, Drama            ",,,,"Kantor's ghost visits the Prado Museum on his 100th birthday. He finds himself in front of the works of art that inspired his own paintings and his theatre: ""Las Meninas"" by Velázquez and ""...                "
KANTOR,JAN HRYNIAK,BLINK FILMS,75015,2016-03-15,2016-03-15,48.854648999836606,2.288997999636491,"https://www.imdb.com/search/title/?title=KANTOR&release_date=2015-01-01,2022-12-31",Tadeusz Kantor in the Prado Museum,2015,,29.0,"Short, Drama            ",,,,"Kantor's ghost visits the Prado Museum on his 100th birthday. He finds himself in front of the works of art that inspired his own paintings and his theatre: ""Las Meninas"" by Velázquez and ""...                "
EN CORPS,CEDRIC KLAPISCH,CE QUI ME MEUT,75001,2020-12-21,2020-12-21,48.85849330754623,2.342487451056845,"https://www.imdb.com/search/title/?title=EN+CORPS&release_date=2015-01-01,2022-12-31",En corps,2022,Tous publics,117.0,"Comedy, Drama            ",7.4,,917.0,"Elise, a very promising classical dancer, is injured during a performance at 26 years old. Although she's told she will no longer be able to dance, she will try to find a new direction in contemporary dance."
EN CORPS,CEDRIC KLAPISCH,CE QUI ME MEUT,75011,2020-12-22,2020-12-22,48.86153236407713,2.38016865980431,"https://www.imdb.com/search/title/?title=EN+CORPS&release_date=2015-01-01,2022-12-31",En corps,2022,Tous publics,117.0,"Comedy, Drama            ",7.4,,917.0,"Elise, a very promising classical dancer, is injured during a performance at 26 years old. Although she's told she will no longer be able to dance, she will try to find a new direction in contemporary dance."
EN CORPS,CEDRIC KLAPISCH,CE QUI ME MEUT,75001,2021-03-27,2021-03-28,48.8596172401479,2.344812017205892,"https://www.imdb.com/search/title/?title=EN+CORPS&release_date=2015-01-01,2022-12-31",En corps,2022,Tous publics,117.0,"Comedy, Drama            ",7.4,,917.0,"Elise, a very promising classical dancer, is injured during a performance at 26 years old. Although she's told she will no longer be able to dance, she will try to find a new direction in contemporary dance."
EN CORPS,CEDRIC KLAPISCH,CE QUI ME MEUT,75001,2021-03-27,2021-03-28,48.857844640132704,2.345635676578596,"https://www.imdb.com/search/title/?title=EN+CORPS&release_date=2015-01-01,2022-12-31",En corps,2022,Tous publics,117.0,"Comedy, Drama            ",7.4,,917.0,"Elise, a very promising classical dancer, is injured during a performance at 26 years old. Although she's told she will no longer be able to dance, she will try to find a new direction in contemporary dance."
EN CORPS,CEDRIC KLAPISCH,CE QUI ME MEUT,75019,2021-03-30,2021-03-31,48.88907741759416,2.392928688275885,"https://www.imdb.com/search/title/?title=EN+CORPS&release_date=2015-01-01,2022-12-31",En corps,2022,Tous publics,117.0,"Comedy, Drama            ",7.4,,917.0,"Elise, a very promising classical dancer, is injured during a performance at 26 years old. Although she's told she will no longer be able to dance, she will try to find a new direction in contemporary dance."
EN CORPS,CEDRIC KLAPISCH,CE QUI ME MEUT,75001,2020-12-21,2020-12-21,48.85657817302001,2.34318145906394,"https://www.imdb.com/search/title/?title=EN+CORPS&release_date=2015-01-01,2022-12-31",En corps,2022,Tous publics,117.0,"Comedy, Drama            ",7.4,,917.0,"Elise, a very promising classical dancer, is injured during a performance at 26 years old. Although she's told she will no longer be able to dance, she will try to find a new direction in contemporary dance."
EN CORPS,CEDRIC KLAPISCH,CE QUI ME MEUT,75001,2020-12-21,2020-12-21,48.85510452788805,2.343263041937734,"https://www.imdb.com/search/title/?title=EN+CORPS&release_date=2015-01-01,2022-12-31",En corps,2022,Tous publics,117.0,"Comedy, Drama            ",7.4,,917.0,"Elise, a very promising classical dancer, is injured during a performance at 26 years old. Although she's told she will no longer be able to dance, she will try to find a new direction in contemporary dance."
EN CORPS,CEDRIC KLAPISCH,CE QUI ME MEUT,75001,2020-12-21,2020-12-21,48.85682577800554,2.341879321027443,"https://www.imdb.com/search/title/?title=EN+CORPS&release_date=2015-01-01,2022-12-31",En corps,2022,Tous publics,117.0,"Comedy, Drama            ",7.4,,917.0,"Elise, a very promising classical dancer, is injured during a performance at 26 years old. Although she's told she will no longer be able to dance, she will try to find a new direction in contemporary dance."
EN CORPS,CEDRIC KLAPISCH,CE QUI ME MEUT,75009,2021-02-18,2021-02-18,48.88044306561776,2.340792202417924,"https://www.imdb.com/search/title/?title=EN+CORPS&release_date=2015-01-01,2022-12-31",En corps,2022,Tous publics,117.0,"Comedy, Drama            ",7.4,,917.0,"Elise, a very promising classical dancer, is injured during a performance at 26 years old. Although she's told she will no longer be able to dance, she will try to find a new direction in contemporary dance."
EN CORPS,CEDRIC KLAPISCH,CE QUI ME MEUT,75019,2021-03-01,2021-03-01,48.88998294373011,2.371505788755549,"https://www.imdb.com/search/title/?title=EN+CORPS&release_date=2015-01-01,2022-12-31",En corps,2022,Tous publics,117.0,"Comedy, Drama            ",7.4,,917.0,"Elise, a very promising classical dancer, is injured during a performance at 26 years old. Although she's told she will no longer be able to dance, she will try to find a new direction in contemporary dance."
Au Bord Du Monde,Gaspar Noé,Rectangle Productions,75010,2021-04-06,2021-04-06,48.883528351301685,2.364001626104999,"https://www.imdb.com/search/title/?title=Au+Bord+Du+Monde&release_date=2015-01-01,2022-12-31",Au bord du monde,2020,,,Short            ,,,,        
