tconst,year,genre,numVotes,parentalAdvisor,duree,themaScore,imdbRating
tt0031336,1939,Drama,664,Approved,110.0,0.1338171809911728,6.4
tt0031826,1939,Biography,5669,Approved,106.0,0.2986122965812683,7.0
tt0033021,1940,War,3812,Not Rated,110.0,0.0690157413482666,6.2
tt0033028,1940,Adventure,9933,Approved,127.0,0.2081376314163208,7.6
tt0034162,1941,Adventure,3875,Approved,100.0,0.2750255465507507,7.5
tt0034578,1942,Action,1592,Approved,114.0,0.0444453842937946,6.4
tt0034583,1942,Romance,564918,PG,102.0,0.2060855329036712,8.5
tt0035575,1942,Biography,15657,Passed,126.0,0.3459435403347015,7.6
tt0036166,1943,History,947,Approved,124.0,0.1875887066125869,5.4
tt0036970,1944,Romance,405,Passed,102.0,0.202457457780838,6.0
tt0037166,1944,Adventure,4544,Passed,75.0,0.1115966215729713,6.8
tt0037913,1945,Drama,25896,Approved,111.0,0.1865534782409668,8.0
tt0038038,1945,Comedy,721,Approved,117.0,0.2141104340553283,7.0
tt0038776,1946,Biography,2862,Approved,128.0,0.4814682900905609,6.1
tt0039566,1947,Comedy,5593,Passed,118.0,0.1737476885318756,7.1
tt0039941,1947,Drama,3242,Approved,103.0,0.0909632518887519,7.2
tt0040745,1948,Musical,2351,Approved,99.0,0.2233475744724273,7.0
tt0041373,1949,Drama,2897,Approved,94.0,0.242749735713005,7.1
tt0041671,1949,Comedy,1440,Passed,101.0,0.0788474231958389,6.6
tt0042281,1950,Crime,3475,Not Rated,97.0,0.2992843389511108,7.5
tt0043153,1950,Biography,3491,Passed,112.0,0.220096081495285,7.2
tt0043553,1951,Romance,603,Approved,99.0,0.355267196893692,6.5
tt0043669,1951,Biography,1076,Passed,110.0,0.3225972056388855,6.8
tt0043687,1951,Biography,2105,Approved,107.0,0.1945141851902008,6.9
tt0044765,1952,Music,377,Approved,107.0,0.1828667372465133,5.7
tt0045198,1952,Comedy,497,Approved,109.0,0.4264663457870483,6.6
tt0046463,1953,Drama,1909,Approved,111.0,0.0700688809156417,6.8
tt0047673,1954,Musical,42546,Not Rated,120.0,0.3696999549865722,7.5
tt0048801,1955,Crime,9579,Not Rated,106.0,0.2047977149486541,7.4
tt0049002,1956,Biography,346,Approved,104.0,0.1440662145614624,5.9
tt0049718,1956,Crime,436,Approved,95.0,0.1731067299842834,6.9
tt0049909,1956,Musical,270,Approved,86.0,0.0213042218238115,5.1
tt0050494,1957,Biography,795,Not Rated,118.0,0.2610615193843841,6.3
tt0051818,1958,Crime,5433,PG,116.0,0.3836288452148437,6.9
tt0053045,1959,Crime,645,Unrated,98.0,0.2853516936302185,6.1
tt0053571,1960,Adventure,1500,Approved,107.0,0.2551456689834595,6.2
tt0053675,1960,Drama,857,Not Rated,97.0,0.1432872861623764,5.5
tt0054892,1961,Biography,1010,Not Rated,105.0,0.2104747742414474,6.3
tt0005955,1915,Biography,107,Not Rated,57.0,0.3208351135253906,5.5
tt0010325,1919,Drama,23,Passed,60.0,0.1419503986835479,5.7
tt0016641,1925,Drama,7650,Not Rated,143.0,0.2170723676681518,7.8
tt0018733,1928,Adventure,64,Passed,72.0,0.1561926454305648,6.9
tt0020724,1930,Musical,209,Passed,100.0,0.2941022515296936,5.5
tt0021365,1930,Action,141,Passed,67.0,0.1682535409927368,5.1
tt0022425,1931,Drama,355,Passed,82.0,0.2171316295862198,6.0
tt0022660,1932,Crime,1323,Passed,86.0,0.3382571339607239,6.7
tt0023194,1932,Adventure,3375,G,68.0,0.1547516286373138,6.3
tt0023262,1932,Drama,258,Passed,75.0,0.2049435526132583,5.3
tt0023374,1932,Drama,1091,Passed,121.0,0.1765443086624145,6.5
tt0023672,1932,Drama,168,Passed,88.0,0.0790397822856903,6.0
tt0024537,1933,Drama,342,Passed,84.0,0.2611778974533081,6.5
tt0024609,1933,Musical,241,Approved,85.0,0.345409631729126,6.1
tt0025989,1934,Drama,208,Passed,72.0,0.2489208579063415,6.6
tt0005149,1915,History,298,Not Rated,77.0,0.1626599282026291,6.0
tt0010189,1919,Action,23,Passed,310.0,0.4317115843296051,6.1
tt0002844,1913,Crime,2272,Not Rated,54.0,0.3099880516529083,6.9
tt0003037,1913,Crime,1569,Not Rated,61.0,0.2542290687561035,6.9
tt0003165,1913,Crime,1234,Not Rated,90.0,0.2567448616027832,6.9
tt0003930,1914,Crime,1329,Not Rated,59.0,0.1772924363613128,6.8
tt0003952,1914,Crime,1101,Not Rated,70.0,0.318694531917572,6.7
tt0006206,1915,Adventure,4859,Not Rated,421.0,0.2292620837688446,7.3
tt0006886,1916,Adventure,1007,Not Rated,300.0,0.1854323446750641,7.3
tt0198559,1919,Adventure,551,TV-G,88.0,0.2109005898237228,7.3
tt0008663,1917,Drama,2041,Not Rated,65.0,0.2104208320379257,7.3
tt0012364,1921,Fantasy,12432,Not Rated,107.0,0.125592365860939,8.0
tt0019585,1928,Drama,6672,Not Rated,95.0,0.2045475542545318,8.0
tt0021044,1930,Drama,239,Passed,92.0,0.1041467636823654,6.3
tt0029712,1937,Adventure,310,Approved,80.0,0.1250292658805847,5.9
tt0026714,1935,Fantasy,3518,Approved,133.0,0.306982010602951,6.8
tt0005592,1915,Drama,22,Passed,50.0,0.2731846570968628,7.1
tt0007539,1916,Romance,26,Passed,72.0,0.3061232566833496,7.2
tt0007927,1917,Biography,27,Passed,80.0,0.2689093351364136,7.5
tt0016403,1925,Crime,33,Passed,76.0,0.2020435929298401,6.5
tt0020673,1931,Adventure,231,Passed,79.0,0.1083637103438377,5.0
tt0020744,1930,Drama,49,Passed,91.0,0.1058912202715873,7.1
tt0027901,1936,Crime,24,Approved,72.0,0.2742635011672973,6.1
tt0003643,1914,Crime,1291,Not Rated,78.0,0.2923452258110046,6.4
tt0004972,1915,History,24692,TV-PG,195.0,0.3028395175933838,6.2
tt0006864,1916,Drama,15537,Passed,197.0,0.223518967628479,7.7
tt0009109,1919,Drama,118,Passed,60.0,0.1687659174203872,6.4
tt0009150,1918,Drama,1011,TV-PG,117.0,0.1352670937776565,6.6
tt0009559,1919,Drama,398,Not Rated,76.0,0.0602374374866485,6.3
tt0009968,1919,Drama,10332,Not Rated,90.0,0.1656157374382019,7.3
tt0010806,1919,Comedy,1820,Not Rated,87.0,0.1980303227901458,6.9
tt0011841,1920,Drama,5515,Passed,145.0,0.2369392216205597,7.4
tt0012122,1921,Drama,187,Passed,102.0,0.1417338550090789,5.5
tt0012532,1921,Drama,5171,Not Rated,150.0,0.1668278574943542,7.3
tt0013458,1922,Comedy,152,Not Rated,128.0,0.2234845459461212,5.4
tt0014672,1924,History,437,Passed,141.0,0.3310415148735046,6.3
tt0016420,1925,Comedy,29,Passed,114.0,0.1708516329526901,6.3
tt0017419,1926,Drama,273,Passed,90.0,0.203109860420227,6.2
tt0020074,1929,Drama,104,Passed,85.0,0.3311415910720825,7.0
tt0020620,1930,Biography,1542,Passed,96.0,0.411601573228836,5.7
tt0043551,1951,Comedy,58,Approved,61.0,0.4419395923614502,5.2
tt0008561,1917,Comedy,110,Passed,65.0,0.2119889110326767,6.2
tt0010490,1919,Comedy,37,Passed,59.0,0.1181753128767013,6.6
tt0022183,1931,Drama,3145,Passed,87.0,0.1699450016021728,7.6
tt0003419,1913,Fantasy,2123,Approved,85.0,0.1203485205769538,6.4
tt0003419,1913,Fantasy,2123,Approved,85.0,0.1203485205769538,6.4
tt0011237,1920,Fantasy,7702,Unrated,91.0,0.0437408834695816,7.2
tt0003471,1913,Crime,688,TV-PG,88.0,0.2719647586345672,5.9
tt0014138,1923,Adventure,37,Passed,70.0,0.1810892820358276,5.2
tt0016679,1926,Adventure,20,Passed,73.0,0.13255175948143,5.2
tt0017077,1926,Adventure,18,Passed,70.0,0.1285725235939026,6.4
tt0023208,1932,Crime,150,Passed,58.0,0.2313364148139953,6.1
tt0024018,1932,Action,101,Passed,53.0,0.1049727126955986,5.7
tt0024276,1933,Action,190,Passed,70.0,0.2104697674512863,6.3
tt0026245,1936,Crime,223,TV-G,71.0,0.2415816336870193,6.3
tt0015353,1924,Adventure,19,Passed,80.0,0.1478572636842727,4.5
tt0021412,1930,Action,84,Passed,86.0,0.1129973530769348,7.1
tt0019356,1928,Drama,13,Passed,80.0,0.15609672665596,6.2
tt0024055,1933,Action,2860,Not Rated,77.0,0.164583534002304,5.8
tt0010323,1920,Mystery,63345,Not Rated,67.0,0.1398777365684509,8.0
tt0015202,1924,Crime,2946,Not Rated,92.0,0.2699370384216308,7.0
tt0005149,1915,History,298,Not Rated,77.0,0.1626599282026291,6.0
tt0005553,1915,Adventure,21,Passed,60.0,0.1723869144916534,4.8
tt0005832,1915,Romance,66,Passed,62.0,0.3030233085155487,5.8
tt0008951,1918,Adventure,19,Passed,75.0,0.0725389420986175,5.4
tt0020174,1929,Drama,14,Passed,57.0,0.1131941303610801,5.8
tt0027229,1935,Comedy,27,Passed,76.0,0.2250106036663055,5.3
tt0008361,1917,Action,24,Passed,50.0,0.2538816928863525,4.6
tt0012675,1921,Adventure,3413,Passed,86.0,0.1851161122322082,6.2
tt0016878,1926,Adventure,21,Passed,65.0,0.1706739366054535,5.3
tt0019757,1929,Mystery,40,Passed,60.0,0.2425585687160492,7.4
tt0020116,1929,Adventure,16,Passed,70.0,0.2349113672971725,6.2
tt0021815,1931,Fantasy,4593,Passed,75.0,0.2380855679512024,7.1
tt0021828,1931,Adventure,222,Passed,77.0,0.1910177767276764,5.5
tt0022537,1931,Adventure,173,Passed,75.0,0.2724146842956543,6.0
tt0024400,1932,Crime,111,Passed,62.0,0.3184863626956939,6.0
tt0024434,1932,Crime,52,Passed,62.0,0.4933180212974548,5.5
tt0029071,1937,Adventure,42,Passed,308.0,0.1339961290359497,4.9
