titre,réalisateur,producteur,postal,debut,fin,latitude,longitude,rive,titleId,title,language,averageRating,numVotes,primaryName,birthYear,deathYear
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75010,2018-11-22,2018-11-22,48.8818843166443,2.362980179438442,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75012,2017-09-01,2017-09-01,48.843890118834445,2.384722121029095,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
dalida,lisa azuelos,BETHSABEE MUCHO,75015,2016-03-16,2016-03-16,48.83290099984615,2.286803000311059,gauche,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75015,2017-12-17,2017-12-17,48.8507458395904,2.28426315819401,gauche,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75008,2017-12-17,2017-12-17,48.866699494682805,2.320534842202644,droite,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75007,2017-12-17,2017-12-17,48.85564106377191,2.326417461265866,gauche,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75011,2017-08-05,2017-08-05,48.86264617649302,2.378583893063028,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
madame,amanda sthers,LGM FILMS,75016,2016-07-25,2016-07-25,48.87016000012336,2.27676200020999,droite,tt5039860,madame,\N,6.1,7735.0,Amanda Sthers,1978.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75009,2018-04-19,2018-04-20,48.88186130941878,2.345361174266593,droite,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75012,2017-08-28,2017-08-28,48.84406451064705,2.405719447864053,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75012,2017-09-23,2017-09-23,48.83593087333175,2.399664817536047,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
french exit,azazel jacobs,Same Player,75012,2019-12-05,2019-12-05,48.85006697622016,2.376518535230019,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
dalida,lisa azuelos,BETHSABEE MUCHO,75009,2016-02-08,2016-02-08,48.88202299998441,2.333718000073741,droite,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
french exit,azazel jacobs,Same Player,75010,2019-12-03,2019-12-03,48.87430497339783,2.358609483028202,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75011,2017-08-11,2017-08-11,48.850340458662046,2.383940403401828,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75005,2017-08-08,2017-08-08,48.8447290138105,2.36398421277781,gauche,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
cold war,pawel pawlikowski,Philippe Lelièvre,75116,2017-07-20,2017-07-21,48.86725274849505,2.27612445600563,couronne,tt5039860,cold war,\N,7.5,56554.0,Pawel Pawlikowski,1957.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75009,2018-01-17,2018-01-18,48.88170491356986,2.344540582294898,droite,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75012,2017-08-05,2017-08-05,48.845066030100575,2.382334653996954,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
french exit,azazel jacobs,Same Player,75004,2019-12-07,2019-12-07,48.85439355174519,2.363408797646489,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75019,2018-11-12,2018-11-12,48.88315248435787,2.37102016659099,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
tout le monde debout,franck dubosc,Gaumont C/o Gaumont Production,75016,2017-05-29,2017-05-29,48.83457796934169,2.261696867286494,droite,tt5039860,tout le monde debout,\N,6.5,4603.0,Franck Dubosc,1963.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75006,2017-12-17,2017-12-17,48.85790532038364,2.335547977084582,gauche,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75010,2017-08-07,2017-08-07,48.87412142065278,2.372150130261485,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75016,2018-04-16,2018-04-16,48.85439567651465,2.2815716585752392,droite,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75006,2018-04-16,2018-04-16,48.84997161806543,2.339009991428072,gauche,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75009,2018-04-17,2018-04-20,48.88148627252094,2.343423695605995,droite,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
french exit,azazel jacobs,Same Player,75011,2019-12-07,2019-12-08,48.85235133412346,2.377147194303626,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
cold war,pawel pawlikowski,Philippe Lelièvre,75018,2017-07-18,2017-07-18,48.88603384414908,2.338133417581391,droite,tt5039860,cold war,\N,7.5,56554.0,Pawel Pawlikowski,1957.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75007,2018-02-16,2018-02-16,48.86097360144644,2.311359923411699,gauche,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75008,2018-03-07,2018-03-07,48.87783401909248,2.310259771911133,droite,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
dalida,lisa azuelos,BETHSABEE MUCHO,75018,2016-03-18,2016-03-18,48.88864400015001,2.337325000638481,droite,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
le petit spirou,nicolas bary,LES FILMS DU CAP,75009,2016-08-25,2016-08-26,48.87346999985117,2.345290000655927,droite,tt5039860,le petit spirou,\N,4.8,399.0,Nicolas Bary,1980.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75019,2018-11-13,2018-11-14,48.8817362144705,2.373834123812062,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75009,2018-11-26,2018-11-30,48.87988846874771,2.345638651005026,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75009,2018-10-30,2018-11-02,48.87378740171047,2.34431341647071,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75020,2017-08-30,2017-08-31,48.8657199263009,2.400761754084273,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
dalida,lisa azuelos,BETHSABEE MUCHO,75009,2016-03-16,2016-03-16,48.88343400043748,2.328016999608602,droite,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
dalida,lisa azuelos,BETHSABEE MUCHO,75002,2016-02-09,2016-02-09,48.8688759997836,2.342134999691128,droite,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
