titre,réalisateur,producteur,postal,debut,fin,latitude,longitude,rive
Un Monde Réel (ex - Une fille en or),Antoinette Boulat,MACASSAR PRODUCTIONS,75003,2020-08-01,2020-08-01,48.86457717675162,2.361908240957241,droite
LE REDOUTABLE,MICHEL HAZANAVICIUS,LES COMPAGNONS DU CINEMA,75009,2016-08-03,2016-08-03,48.881415999982046,2.3424730004321432,droite
A NOS AGES,ROBIN SYKES,2425 FILMS,75003,2020-12-15,2020-12-15,48.865243959168005,2.362894141543439,droite
PETITE LEÇON D'AMOUR,EVE DEBOISE,BLUE MONDAY PRODUCTIONS,75009,2020-02-04,2020-02-04,48.88027783054732,2.3437123231334462,droite
A NOS AGES,ROBIN SYKES,2425 FILMS,75011,2020-12-14,2020-12-14,48.85370110766932,2.370313404317377,droite
En attendant qui ? Mai,Marc RECUENCO,SerialBstudio,75005,2019-06-23,2019-06-23,48.84997992490091,2.343222884836868,gauche
ADIEU MONSIEUR HAFFMANN,FRED CAVAYÉ,VENDOME FILMS,75018,2020-03-14,2020-03-14,48.88585595781013,2.338721141807266,droite
LOUE MOI,VIRGINE SCSWARTZ,MY FAMILY,75003,2016-11-09,2016-11-09,48.86098300044693,2.360985000026246,droite
ADIEU MONSIEUR HAFFMANN,FRED CAVAYÉ,VENDOME FILMS,75018,2020-03-20,2020-03-20,48.88585595781013,2.338721141807266,droite
BEFIKRE,ADITYA CHOPRA,FIRSTEP,75004,2016-02-26,2016-02-26,48.854804000416166,2.359778000629123,droite
Trois Nuits Par Semaine,Florent GOUËLOU,Yukunkun Productions,75010,2021-04-02,2021-04-03,48.87105628054015,2.364270746371292,droite
NOTRE DAME BRULE,Jean-Jacques ANNAUD,PATHE PRODEXE,75006,2021-05-21,2021-05-21,48.853939876406784,2.333401116375804,gauche
C'EST TOUT POUR MOI,L. COLBEAU JUSTIN,LGM CINEMA,75018,2016-03-15,2016-03-15,48.88387900001381,2.341421999884965,droite
UNE BELLE COURSE,CHRISTIAN CARION,UNE HIRONDELLE PRODUCTIONS,75008,2021-05-19,2021-05-19,48.87325949696013,2.297810491301306,droite
LA SAGE FEMME,MARTIN PROVOST,CURIOSA FILMS,75018,2016-05-24,2016-05-24,48.89349500020212,2.36156899941495,droite
MARVIN,ANNE FONTAINE,CINE @,75010,2016-08-26,2016-08-26,48.87268400010294,2.355911999367669,droite
